,name,label
78,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id61_0000/11.jpg,0.0
158,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id26_0006/5.jpg,0.0
238,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id61_0008/22.jpg,0.0
318,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id27_0003/20.jpg,0.0
398,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id27_0004/1.jpg,0.0
478,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id45_0002/23.jpg,0.0
558,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id11_0009/18.jpg,0.0
638,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id44_0005/22.jpg,0.0
718,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id42_0004/19.jpg,0.0
798,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id43_0007/4.jpg,0.0
878,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id52_0005/27.jpg,0.0
958,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id0_0009/1.jpg,0.0
1038,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id16_0004/14.jpg,0.0
1118,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id48_0009/15.jpg,0.0
1198,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id22_0007/9.jpg,0.0
1278,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id41_0001/2.jpg,0.0
1358,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id22_0004/0.jpg,0.0
1438,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id30_0009/9.jpg,0.0
1518,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id36_0009/1.jpg,0.0
1598,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id50_0007/20.jpg,0.0
1678,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id51_0003/0.jpg,0.0
1758,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id3_0000/2.jpg,0.0
1838,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id49_0002/29.jpg,0.0
1918,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id7_0005/5.jpg,0.0
1998,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id6_0009/41.jpg,0.0
2078,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id47_0000/7.jpg,0.0
2158,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id26_0004/19.jpg,0.0
2238,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id58_0003/3.jpg,0.0
2318,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id32_0004/4.jpg,0.0
2398,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id33_0003/24.jpg,0.0
2478,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id23_0007/0.jpg,0.0
2558,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id28_0002/23.jpg,0.0
2638,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id47_0007/22.jpg,0.0
2718,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id19_0001/2.jpg,0.0
2798,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id48_0006/8.jpg,0.0
2878,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id50_0002/15.jpg,0.0
2958,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id12_0001/29.jpg,0.0
3038,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id0_0007/10.jpg,0.0
3118,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id24_0000/20.jpg,0.0
3198,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id55_0002/24.jpg,0.0
3278,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id37_0002/19.jpg,0.0
3358,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id55_0001/7.jpg,0.0
3438,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id46_0007/26.jpg,0.0
3518,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id47_0006/22.jpg,0.0
3598,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id57_0005/9.jpg,0.0
3678,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id45_0005/2.jpg,0.0
3758,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id49_0003/29.jpg,0.0
3838,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id52_0003/23.jpg,0.0
3918,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id23_0005/24.jpg,0.0
3998,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id16_0002/1.jpg,0.0
4078,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id34_0003/23.jpg,0.0
4158,/hdd2/vol2/deepfakeDatabases/Celeb-DF-v2/cropped_images_jpg/Celeb-real/id47_0003/7.jpg,0.0
